,temp,dew,humidity,precip,precipprob,precipcover,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions,stations,cases,labels,lab
318,28.5,26.4,89.3,5.0,100.0,4.17,14.8,99.2,1004.7,79.9,3.3,163.1,14.0,6.0,2,0,5999,normal,1
319,29.3,26.9,87.5,0.0,0.0,0.0,11.9,130.5,1004.7,71.0,3.4,221.2,19.2,7.0,1,1,4282,normal,1
320,28.3,26.7,91.7,1.4,100.0,8.33,14.8,78.5,1003.6,71.2,2.7,166.7,14.2,6.0,2,1,13151,normal,2
321,28.1,26.3,90.3,0.8,100.0,16.67,11.2,105.2,1005.3,73.9,3.2,87.5,7.4,3.0,2,1,16202,normal,2
322,25.8,24.9,95.3,12.0,100.0,4.17,13.3,94.2,1009.3,70.7,2.9,57.9,5.0,2.0,2,1,19863,normal,2
323,24.1,23.5,96.5,12.0,100.0,12.5,17.6,76.4,1011.0,73.3,2.7,175.8,15.1,6.0,2,1,12043,normal,2
324,27.6,25.8,90.2,0.0,0.0,0.0,11.2,80.6,1008.9,68.9,3.2,111.8,9.8,4.0,1,0,15976,normal,2
325,27.0,25.5,91.7,25.0,100.0,8.33,11.2,77.2,1008.1,71.0,2.9,170.1,14.6,6.0,2,1,15206,normal,2
326,25.6,24.6,94.1,9.0,100.0,8.33,25.9,82.1,1010.3,77.8,3.0,79.2,6.7,3.0,2,1,21781,normal,3
327,25.8,24.7,94.3,33.2,100.0,12.5,18.4,93.5,1011.6,78.2,2.6,195.5,16.8,7.0,2,1,5156,normal,1
328,27.4,25.4,89.5,1.0,100.0,4.17,16.6,89.9,1012.0,71.9,2.9,119.7,10.3,4.0,2,1,5123,normal,1
329,24.6,24.3,98.2,73.0,100.0,29.17,20.5,96.5,1012.2,78.5,2.0,195.3,16.8,7.0,2,1,14398,normal,2
330,23.9,23.8,99.3,43.0,100.0,12.5,12.3,101.0,1011.1,81.7,2.0,138.7,11.9,5.0,2,0,18407,normal,2
331,24.2,23.6,96.1,4.1,100.0,8.33,25.9,95.9,1009.1,77.6,2.4,145.6,12.8,6.0,2,1,19709,normal,2
332,23.7,23.0,95.7,1.0,100.0,4.17,14.8,83.9,1010.3,76.3,3.0,182.6,15.7,6.0,2,0,12998,normal,2
333,23.9,23.0,94.7,0.0,0.0,0.0,11.2,69.8,1010.1,73.0,3.0,223.4,19.4,8.0,1,1,16305,normal,2
334,25.3,23.3,89.2,0.0,0.0,0.0,7.6,112.9,1009.4,65.7,3.2,173.5,14.9,6.0,1,0,17000,normal,2
335,25.4,24.5,94.7,3.1,100.0,12.5,9.4,83.1,1009.8,71.4,3.0,181.1,15.5,7.0,2,0,4880,normal,1
336,27.3,24.5,85.7,0.0,0.0,0.0,9.4,358.8,1009.9,67.8,3.5,163.2,14.0,6.0,1,0,9641,normal,1
337,28.0,24.1,80.6,0.0,0.0,0.0,11.2,281.1,1010.1,39.7,3.4,245.4,21.2,9.0,1,0,11113,normal,2
338,27.5,23.4,79.8,0.0,0.0,0.0,11.2,288.0,1010.0,24.2,3.1,236.1,20.4,8.0,1,1,14714,normal,2
339,27.2,22.7,78.3,0.0,0.0,0.0,9.4,280.9,1011.0,30.5,3.3,232.3,19.9,8.0,1,1,10181,normal,2
340,26.9,22.2,78.1,0.0,0.0,0.0,14.8,281.1,1011.9,17.8,3.4,230.2,19.9,8.0,0,0,7364,normal,1
341,26.9,22.2,77.5,0.0,0.0,0.0,11.2,271.9,1011.4,3.5,3.5,241.7,20.8,8.0,0,0,7679,normal,1
342,27.1,22.9,79.1,0.0,0.0,0.0,7.6,133.6,1011.4,21.9,3.6,234.6,20.2,8.0,1,1,10252,normal,2
343,27.4,22.6,77.5,0.0,0.0,0.0,11.2,281.6,1010.9,13.4,3.3,231.3,20.0,8.0,0,0,22879,normal,3
344,27.0,21.0,72.6,0.0,0.0,0.0,13.0,262.9,1011.0,17.6,3.2,235.2,20.2,8.0,0,0,16275,normal,2
345,26.5,20.5,73.2,0.0,0.0,0.0,7.6,249.0,1012.2,10.4,3.0,232.8,20.2,8.0,0,0,14884,normal,2
346,26.8,20.8,73.0,0.0,0.0,0.0,3.6,214.6,1013.0,7.5,3.1,207.1,18.0,7.0,0,1,4545,normal,1
347,27.0,22.2,77.0,0.0,0.0,0.0,6.6,127.3,1013.9,15.3,2.8,214.2,18.6,8.0,0,1,9511,normal,1
348,26.8,21.6,75.9,0.0,0.0,0.0,9.4,103.6,1014.2,11.4,3.4,209.3,18.2,8.0,0,0,21223,normal,3
349,26.6,21.3,75.4,0.0,0.0,0.0,9.4,138.3,1014.1,9.2,3.3,196.9,17.1,7.0,0,0,4985,normal,1
350,26.0,21.5,78.0,0.0,0.0,0.0,7.9,150.9,1014.3,37.8,3.0,127.9,11.0,5.0,1,1,5471,normal,1
351,26.1,22.5,81.7,0.0,0.0,0.0,7.6,104.6,1015.0,61.3,3.0,110.4,9.7,4.0,1,0,20146,normal,3
352,25.6,23.5,88.6,0.0,0.0,0.0,7.9,262.1,1014.4,70.9,2.4,107.2,9.3,4.0,1,1,4065,normal,1
353,24.8,20.4,78.2,0.0,0.0,0.0,11.9,276.7,1012.3,59.8,2.2,199.8,17.3,7.0,1,1,14398,normal,2
354,23.4,17.4,72.9,0.0,0.0,0.0,13.0,277.7,1010.2,32.9,2.8,188.2,16.3,7.0,1,0,14841,normal,2
355,22.9,18.4,77.9,0.0,0.0,0.0,7.9,230.8,1010.1,54.4,2.6,177.6,15.3,7.0,1,1,17997,normal,2
356,23.5,17.9,73.3,0.0,0.0,0.0,7.6,82.1,1011.3,14.0,2.3,215.0,18.7,8.0,0,1,22462,normal,3
357,23.3,20.6,85.2,0.0,0.0,0.0,11.2,117.2,1012.4,23.4,2.7,192.8,16.7,7.0,1,0,15817,normal,2
358,23.1,19.2,80.5,0.0,0.0,0.0,7.6,97.7,1013.9,42.5,2.6,218.4,18.8,8.0,1,0,13414,normal,2
